Grupo,Perguntas,[INÍCIO] % Discorda ou Discorda Totalmente (<3),[INÍCIO] % Neutro (=3),[INÍCIO] % Concorda ou Concorda Totalmente (>3),[FINAL] % Discorda ou Discorda Totalmente (<3),[FINAL] % Neutro (=3),[FINAL] % Concorda ou Concorda Totalmente (>3),[VARIAÇÃO] % Discorda ou Discorda Totalmente (<3),[VARIAÇÃO] % Neutro (=3),[VARIAÇÃO] % Concorda ou Concorda Totalmente (>3),Análise
Impacto nas Funções Atuais Típicas,A função de frontend será extinta ou severamente afetada pelo uso de ferramentas de IA generativa na engenharia de software. Indique seu grau de concordância de 1 (Discordo totalmente) a 5 (Concordo totalmente).,43.48%,32.61%,23.91%,47.50%,17.50%,35.00%,4.02%,-15.11%,11.09%,"## A função de frontend será extinta ou severamente afetada pelo uso de ferramentas de IA generativa na engenharia de software. Indique seu grau de concordância de 1 (Discordo totalmente) a 5 (Concordo totalmente).
Início do semestre: Discorda (43.48%), Neutro (32.61%), Concorda (23.91%).
Final do semestre: Discorda (47.50%), Neutro (17.50%), Concorda (35.00%).
Variação: Discorda (4.02%), Neutro (-15.11%), Concorda (11.09%).
Análise: houve aumento na concordância forte, indicando polarização das opiniões, com redução da neutralidade (maior definição de opinião)."
Impacto nas Funções Atuais Típicas,A função de QA (Garantia de Qualidade) será extinta ou severamente afetada pelo uso de ferramentas de IA generativa na engenharia de software. Indique seu grau de concordância de 1 (Discordo totalmente) a 5 (Concordo totalmente).,76.09%,13.04%,10.87%,72.50%,17.50%,10.00%,-3.59%,4.46%,-0.87%,"## A função de QA (Garantia de Qualidade) será extinta ou severamente afetada pelo uso de ferramentas de IA generativa na engenharia de software. Indique seu grau de concordância de 1 (Discordo totalmente) a 5 (Concordo totalmente).
Início do semestre: Discorda (76.09%), Neutro (13.04%), Concorda (10.87%).
Final do semestre: Discorda (72.50%), Neutro (17.50%), Concorda (10.00%).
Variação: Discorda (-3.59%), Neutro (4.46%), Concorda (-0.87%).
Análise: houve redução na concordância leve, indicando convergência das opiniões, com aumento da neutralidade (maior indecisão)."
Impacto nas Funções Atuais Típicas,A função de gerente de projeto será extinta ou severamente afetada pelo uso de ferramentas de IA generativa na engenharia de software. Indique seu grau de concordância de 1 (Discordo totalmente) a 5 (Concordo totalmente).,76.09%,17.39%,6.52%,72.50%,20.00%,7.50%,-3.59%,2.61%,0.98%,"## A função de gerente de projeto será extinta ou severamente afetada pelo uso de ferramentas de IA generativa na engenharia de software. Indique seu grau de concordância de 1 (Discordo totalmente) a 5 (Concordo totalmente).
Início do semestre: Discorda (76.09%), Neutro (17.39%), Concorda (6.52%).
Final do semestre: Discorda (72.50%), Neutro (20.00%), Concorda (7.50%).
Variação: Discorda (-3.59%), Neutro (2.61%), Concorda (0.98%).
Análise: houve aumento na concordância leve, com aumento da neutralidade (maior indecisão)."
Impacto nas Funções Atuais Típicas,A função de Product Manager será extinta ou severamente afetada pelo uso de ferramentas de IA generativa na engenharia de software. Indique seu grau de concordância de 1 (Discordo totalmente) a 5 (Concordo totalmente).,63.04%,30.43%,6.52%,65.00%,32.50%,2.50%,1.96%,2.07%,-4.02%,"## A função de Product Manager será extinta ou severamente afetada pelo uso de ferramentas de IA generativa na engenharia de software. Indique seu grau de concordância de 1 (Discordo totalmente) a 5 (Concordo totalmente).
Início do semestre: Discorda (63.04%), Neutro (30.43%), Concorda (6.52%).
Final do semestre: Discorda (65.00%), Neutro (32.50%), Concorda (2.50%).
Variação: Discorda (1.96%), Neutro (2.07%), Concorda (-4.02%).
Análise: houve redução na concordância leve, com aumento da neutralidade (maior indecisão)."
Impacto nas Funções Atuais Típicas,A função de Scrum Master será extinta ou severamente afetada pelo uso de ferramentas de IA generativa na engenharia de software. Indique seu grau de concordância de 1 (Discordo totalmente) a 5 (Concordo totalmente).,58.70%,30.43%,10.87%,52.50%,35.00%,12.50%,-6.20%,4.57%,1.63%,"## A função de Scrum Master será extinta ou severamente afetada pelo uso de ferramentas de IA generativa na engenharia de software. Indique seu grau de concordância de 1 (Discordo totalmente) a 5 (Concordo totalmente).
Início do semestre: Discorda (58.70%), Neutro (30.43%), Concorda (10.87%).
Final do semestre: Discorda (52.50%), Neutro (35.00%), Concorda (12.50%).
Variação: Discorda (-6.20%), Neutro (4.57%), Concorda (1.63%).
Análise: houve aumento na concordância leve, com aumento da neutralidade (maior indecisão)."
Aplicação no Projeto,"Em relação ao status atual de seu projeto, quão confiante você está de que sua equipe vai entregar um software funcional e de qualidade dentro do prazo?",2.17%,34.78%,63.04%,0.00%,10.00%,90.00%,-2.17%,-24.78%,26.96%,"## Em relação ao status atual de seu projeto, quão confiante você está de que sua equipe vai entregar um software funcional e de qualidade dentro do prazo?
Início do semestre: Discorda (2.17%), Neutro (34.78%), Concorda (63.04%).
Final do semestre: Discorda (0.00%), Neutro (10.00%), Concorda (90.00%).
Variação: Discorda (-2.17%), Neutro (-24.78%), Concorda (26.96%).
Análise: houve aumento na concordância forte, com redução da neutralidade (maior definição de opinião)."
Aplicação no Projeto,Acredita que as ferramentas de apoio e automação adotadas pela equipe irão agilizar significativamente o desenvolvimento?,0.00%,8.70%,91.30%,2.50%,22.50%,75.00%,2.50%,13.80%,-16.30%,"## Acredita que as ferramentas de apoio e automação adotadas pela equipe irão agilizar significativamente o desenvolvimento?
Início do semestre: Discorda (0.00%), Neutro (8.70%), Concorda (91.30%).
Final do semestre: Discorda (2.50%), Neutro (22.50%), Concorda (75.00%).
Variação: Discorda (2.50%), Neutro (13.80%), Concorda (-16.30%).
Análise: houve redução na concordância forte, com aumento da neutralidade (maior indecisão)."
Aplicação no Projeto,Você precisou/prevê que será necessário revisar ou ajustar significativamente as saídas geradas por ferramentas automatizadas ao longo do projeto?,2.17%,13.04%,84.78%,10.00%,30.00%,60.00%,7.83%,16.96%,-24.78%,"## Você precisou/prevê que será necessário revisar ou ajustar significativamente as saídas geradas por ferramentas automatizadas ao longo do projeto?
Início do semestre: Discorda (2.17%), Neutro (13.04%), Concorda (84.78%).
Final do semestre: Discorda (10.00%), Neutro (30.00%), Concorda (60.00%).
Variação: Discorda (7.83%), Neutro (16.96%), Concorda (-24.78%).
Análise: houve redução na concordância forte, com aumento da neutralidade (maior indecisão)."
Motivação e Trabalho em Equipe,Quão motivado você está para/ficou em aprender novas técnicas e tecnologias durante a implementação do projeto?,0.00%,6.52%,93.48%,5.00%,22.50%,72.50%,5.00%,15.98%,-20.98%,"## Quão motivado você está para/ficou em aprender novas técnicas e tecnologias durante a implementação do projeto?
Início do semestre: Discorda (0.00%), Neutro (6.52%), Concorda (93.48%).
Final do semestre: Discorda (5.00%), Neutro (22.50%), Concorda (72.50%).
Variação: Discorda (5.00%), Neutro (15.98%), Concorda (-20.98%).
Análise: houve redução na concordância forte, com aumento da neutralidade (maior indecisão)."
Motivação e Trabalho em Equipe,Você acredita que as ferramentas de apoio e automação adotadas pela equipe irão facilitar a colaboração entre os membros da sua equipe?,0.00%,15.22%,84.78%,2.50%,22.50%,75.00%,2.50%,7.28%,-9.78%,"## Você acredita que as ferramentas de apoio e automação adotadas pela equipe irão facilitar a colaboração entre os membros da sua equipe?
Início do semestre: Discorda (0.00%), Neutro (15.22%), Concorda (84.78%).
Final do semestre: Discorda (2.50%), Neutro (22.50%), Concorda (75.00%).
Variação: Discorda (2.50%), Neutro (7.28%), Concorda (-9.78%).
Análise: houve redução na concordância moderada, com aumento da neutralidade (maior indecisão)."
Motivação e Trabalho em Equipe,"Para você, qual deve ser o equilíbrio ideal entre a autonomia de cada integrante e a dependência de ferramentas de suporte no desenvolvimento do projeto?",26.09%,54.35%,19.57%,30.00%,42.50%,27.50%,3.91%,-11.85%,7.93%,"## Para você, qual deve ser o equilíbrio ideal entre a autonomia de cada integrante e a dependência de ferramentas de suporte no desenvolvimento do projeto?
Início do semestre: Discorda (26.09%), Neutro (54.35%), Concorda (19.57%).
Final do semestre: Discorda (30.00%), Neutro (42.50%), Concorda (27.50%).
Variação: Discorda (3.91%), Neutro (-11.85%), Concorda (7.93%).
Análise: houve aumento na concordância moderada, indicando polarização das opiniões, com redução da neutralidade (maior definição de opinião)."
