timestamp,semester,prior_degree,age_band,gender,public_high_school,software_experience,employed_in_software,project_count,primary_role,largest_team_size,genai_general_frequency,genai_se_frequency,genai_activities,genai_tools_last_12m,methodology,likert_useful,likert_productivity,likert_quality,likert_flow_change,likert_any_methodology,likert_methodology_fit,likert_new_competencies,likert_new_roles,likert_confidence_ai_code,role_backend_impact,role_frontend_impact,role_qa_impact,role_pmgr_impact,role_product_manager_impact,role_scrum_master_impact,open_biggest_benefit,open_five_year_impact,project_confidence_pre_start,project_challenges,automation_speed_up,automation_revision_needed,learning_motivation,learning_expected_level,automation_collaboration_help,autonomy_vs_tool_dependence,open_project_feeling,open_professional_growth,prior_project_with_genai_feature,consent,genai_general_frequency_num,genai_se_frequency_num,prior_project_with_genai_feature_num,employed_in_software_num,likert_useful_num,likert_productivity_num,likert_quality_num,likert_flow_change_num,likert_any_methodology_num,likert_methodology_fit_num,likert_new_competencies_num,likert_new_roles_num,likert_confidence_ai_code_num,perception_index,role_disruption_index,n_genai_tools,n_genai_activities,n_project_challenges,high_se_usage,daily_or_weekly_general_usage,adoption_score_raw,adoption_segment
2025-09-05 09:34:07,8º semestre,Não,21-25 anos,Masculino,Não,1-3 anos,Sim,3-5 projetos,Desenvolvedor(a) Backend,1-5,Diariamente,Diariamente,"Geração de código, Depuração / debug, Escrita de testes, Documentação, Prototipação, Brainstorming de ideias, Refatoração, Pesquisa / Perguntas gerais / Uso Pessoal","ChatGPT, Gemini, Claude, DeepSeek, Cursor","Ágil (Scrum, Kanban)",Concordo totalmente,Concordo totalmente,Neutro,Neutro,Concordo,Discordo,Discordo,Concordo,Concordo totalmente,2,3,2,1,2,3,"Identificação de bugs, erros de lógica e más práticas. O uso de IA também ajuda muito a utilizar funcionalidades das linguagens e ferramentas que geralmente me esqueço ou não lembro exatamente como aplicar.","A produtividade irá aumentar muito e a necessidade de engenheiros de software irá diminuir, mas não sumir. Creio que apenas pessoas realmente capazes e com conhecimento técnico, lógico e sobre o produto irão se destacar, e os papeis desempenhados irão se especializar mais no uso de IA.
Além disso, o setor de segurança e testes irá ter novos problemas e vulnerabilidades gerados pelos códigos e lógicas gerados por IA de forma incorreta ou falha.",4,Adaptação a novas ferramentas e tecnologias,4,4,5,Significativo (aprenderei várias técnicas novas),4,3,Ainda não tenho uma idéia muito clara de como me sinto em relação a isso.,"Aprender e ne adaptar às inovações trazidas pela IA generativa no contexto de ES, buscando aumentar minha produtividade e assertividade no meu campo de atuação.",Sim,"Sim, eu li e concordo.",4,4,1,1,5,5,3,3,4,2,2,4,5,3.6666666666666665,2.1666666666666665,5,8,1,True,True,22,Higher adoption
2025-09-05 09:34:27,7º semestre,Não,21-25 anos,Masculino,Sim,Nenhuma,Não,Nenhum,Desenvolvedor(a) Frontend,1-5,Algumas vezes por mês,Algumas vezes por mês,"Geração de código, Escrita de testes, Documentação, Prototipação, Análise de requisitos, Pesquisa / Perguntas gerais / Uso Pessoal","ChatGPT, Gemini",Nenhuma metodologia aplicada,Concordo,Concordo,Neutro,Neutro,Neutro,Neutro,Neutro,Concordo,Neutro,3,3,3,2,3,3,Correção de erros,Auxiliando nos projetos,3,"Compreensão dos requisitos do cliente, Tomada de decisões de design de software, Adaptação a novas ferramentas e tecnologias, Integração de componentes e sistemas",4,4,4,Significativo (aprenderei várias técnicas novas),4,3,Ansioso,Melhorar profissionalmente,Sim,"Sim, eu li e concordo.",2,2,1,0,4,4,3,3,3,3,3,4,3,3.3333333333333335,2.8333333333333335,2,6,4,False,False,13,Moderate adoption
2025-09-05 09:34:44,3º semestre,Não,17-20 anos,Masculino,Não,Menos de 1 ano,Não,1-2 projetos,Desenvolvedor(a) Backend,1-5,Diariamente,Semanalmente,"Geração de código, Depuração / debug, Refatoração, Pesquisa / Perguntas gerais / Uso Pessoal","ChatGPT, Gemini, Claude, DeepSeek, GitHub Copilot",Não sei / Não conheço,Concordo totalmente,Concordo totalmente,Concordo,Concordo,Concordo,Concordo,Neutro,Concordo totalmente,Concordo,2,2,2,1,1,1,"A facilidade em realizar depuração/debug de código em poucos segundos.
Imagino maior acertividade nas respostas da IA, já que atualmente algumas respostas não são totalmente coerentes.","Algumas pessoas provavelmente irão ficar dependentes do uso de IA para criação de projetos, ou seja, penso em saber o que realmente estou fazendo no projeto + o uso de IA para auxiliar",5,"Compreensão dos requisitos do cliente, Integração de componentes e sistemas, Gerenciamento de tempo",5,4,5,Significativo (aprenderei várias técnicas novas),5,3,"Me sinto empolgado em fazer um projeto desse tamanho, já que será o primeiro projeto da minha carreira acadêmica desse tamanho.
Estou empolgado para aprender e utilizar esses novos conhecimentos no futuro.","Tenho muito interesse em IA e LLMS, já que atualmente muitos projetos usam esses artifícios e é o ""futuro"" da engenharia de software",Não,"Sim, eu li e concordo.",4,3,0,0,5,5,4,4,4,4,3,5,4,4.222222222222222,1.5,5,4,3,True,True,16,Higher adoption
2025-09-05 09:35:02,8º semestre,Não,21-25 anos,Feminino,Sim,Nenhuma,Não,Mais de 5 projetos,Product Manager,1-5,Diariamente,Semanalmente,"Geração de código, Escrita de testes, Documentação, Prototipação, Brainstorming de ideias, Análise de requisitos, Pesquisa / Perguntas gerais / Uso Pessoal","ChatGPT, Gemini, DeepSeek, Cursor, Lovable, v0","Ágil (Scrum, Kanban)",Concordo totalmente,Concordo,Concordo,Concordo,Neutro,Neutro,Concordo,Concordo totalmente,Discordo,2,2,2,2,2,2,"A rapidez em tirar dúvidas de forma mais eficiente e eficaz, melhorando prazos e possíveis problemas.","Ao longo dos anos a evolução da IA teve um grande ""boom"", mas analisando os dados, penso que, esse crescimento vai ser estável (como em outros tempos fora). Com isso? vejo que a dinâmica de atividades e as demandas vão ser afetadas, mas de forma simples, já que a IA generativa ajuda sim em várias atividades, mas está muito longe da evolução de uma AGI ou de fazer entregas complexas sozinhas. Ademais, como toda ferramenta precisa de auxílio, ela também precisa.",3,"Adaptação a novas ferramentas e tecnologias, Integração de componentes e sistemas, Gerenciamento de tempo",4,1,4,Significativo (aprenderei várias técnicas novas),3,2,Me sinto empolgada,Expectativas médias.,Sim,"Sim, eu li e concordo.",4,3,1,0,5,4,4,4,3,3,4,5,2,3.7777777777777777,2.0,6,7,3,True,True,21,Higher adoption
2025-09-05 09:35:44,3º semestre,Não,17-20 anos,Masculino,Não,Menos de 1 ano,Não,3-5 projetos,Desenvolvedor(a) Backend,1-5,Semanalmente,Semanalmente,"Geração de código, Prototipação, Brainstorming de ideias, Refatoração, Pesquisa / Perguntas gerais / Uso Pessoal","ChatGPT, Gemini, DeepSeek, n8n",Nenhuma metodologia aplicada,Concordo totalmente,Concordo totalmente,Neutro,Concordo,Concordo,Neutro,Discordo,Concordo totalmente,Concordo,3,3,2,1,3,4,"A geração de ideias da IA para trazer pros projetos, novas funcionalidades úteis sem quebrar a cabeça pensando.","Como uma aliada no dia a dia de trabalho, auxiliando junto a minha base de conhecimento para produzir mais.",4,"Tomada de decisões de design de software, Integração de componentes e sistemas",4,4,5,Moderado (aprenderei algumas novas técnicas),4,3,Confiante com a utilidade que o projeto terá,"Boa, com a disciplina iremos aprender ferramentas e conceitos importantes pro nosso futuro como profissional da área.",Sim,"Sim, eu li e concordo.",3,3,1,0,5,5,3,4,4,3,2,5,4,3.888888888888889,2.6666666666666665,4,5,2,True,True,16,Higher adoption
2025-09-05 09:35:59,6º semestre,Não,17-20 anos,Masculino,Não,1-3 anos,Não,1-2 projetos,Desenvolvedor(a) Backend,1-5,Algumas vezes por mês,Algumas vezes por mês,"Geração de código, Depuração / debug, Pesquisa / Perguntas gerais / Uso Pessoal","ChatGPT, DeepSeek",Nenhuma metodologia aplicada,Concordo totalmente,Concordo,Concordo,Concordo totalmente,Neutro,Concordo,Concordo totalmente,Concordo totalmente,Concordo totalmente,2,2,2,1,1,1,Evitar leitura extensa de documentação e de fóruns online,"Elas serão uma parte necessária do processo, fortemente integrada com desenvolvimento de sistemas, mas não substituirão completamente a mão de obra humana",3,"Adaptação a novas ferramentas e tecnologias, Integração de componentes e sistemas, Gerenciamento de tempo",5,4,5,Significativo (aprenderei várias técnicas novas),4,3,"Vejo uma incrível oportunidade de aprendizado, não só no âmbito do desenvolvimento e da adaptação à novas tecnologias, mas também na adoção de metodologias de desenvolvimento num contexto em equipe","Espero expandir meu leque de tecnologias e ferramentas e técnicas, além de melhorar o trabalho em equipe e minha organização pessoal em projetos",Não,"Sim, eu li e concordo.",2,2,0,0,5,4,4,5,3,4,5,5,5,4.444444444444445,1.5,2,3,3,False,False,9,Lower adoption
2025-09-05 09:36:25,5º semestre,Não,21-25 anos,Masculino,Não,1-3 anos,Não,3-5 projetos,Designer UX/UI,1-5,Diariamente,Raramente,"Prototipação, Brainstorming de ideias, Pesquisa / Perguntas gerais / Uso Pessoal","ChatGPT, Gemini, DeepSeek, GitHub Copilot",Modelo híbrido,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo,Neutro,Concordo totalmente,Concordo totalmente,Neutro,3,3,1,1,1,2,Velocidade para criar protótipos,Sim,5,Adaptação a novas ferramentas e tecnologias,5,5,5,Transformador (mudará minha forma de desenvolver software),5,3,Confiante,Ajudar em conseguir me desenvolver para entrar no mercado de trabalho,Sim,"Sim, eu li e concordo.",4,1,1,0,5,5,5,5,4,3,5,5,3,4.444444444444445,1.8333333333333333,4,3,1,False,True,13,Moderate adoption
2025-09-05 09:36:27,7º semestre,Não,21-25 anos,Masculino,Sim,Menos de 1 ano,Não,1-2 projetos,Desenvolvedor(a) Frontend,1-5,Semanalmente,Raramente,"Geração de código, Brainstorming de ideias, Refatoração, Pesquisa / Perguntas gerais / Uso Pessoal","ChatGPT, Gemini, GitHub Copilot",Não sei / Não conheço,Concordo,Concordo,Neutro,Neutro,Concordo,Neutro,Concordo totalmente,Concordo totalmente,Discordo,1,1,1,1,1,1,"É benéfico para sair de algum obstáculo, seja lá um código que você não consegue encontrar o problema dele ou alguma ideia do que implementar nele para o torná-lo melhor","Acredito que a IA generativa não irá me prejudicar e nem prejudicar ninguém, ela será uma aliada na carreira de todos, porém depender somente dela é algo preocupante.",3,Adaptação a novas ferramentas e tecnologias,4,5,5,Significativo (aprenderei várias técnicas novas),5,5,"Preocupado, mas ao mesmo tempo empolgado com o desafio","Sinto que esse projeto irá agregar muito no meu crescimento pessoal, consequentemente será um fruto que irei colher no futuro a vida profissional devido ao que irei aprender",Não,"Sim, eu li e concordo.",3,1,0,0,4,4,3,3,4,3,5,5,2,3.6666666666666665,1.0,3,4,1,False,True,11,Lower adoption
2025-09-05 09:36:40,8º semestre,Não,21-25 anos,Masculino,Não,1-3 anos,Não,1-2 projetos,Desenvolvedor(a) Backend,6-10,Raramente,Algumas vezes por mês,"Depuração / debug, Análise de requisitos, Pesquisa / Perguntas gerais / Uso Pessoal","ChatGPT, Gemini, Claude, DeepSeek","Ágil (Scrum, Kanban)",Concordo totalmente,Concordo,Neutro,Concordo,Neutro,Concordo,Concordo,Concordo,Concordo,1,1,2,1,1,2,"Otimização de tempo durante o desenvolvimento de software, porém sendo utilzado mais como uma ferramenta auxiliar do que um gerador de codigo em si.",Acredito que ela irá otimizar meu tempo e me. ajudar a corrigir certos tipos de bug mais específicos.,4,"Integração de componentes e sistemas, Gerenciamento de tempo",4,5,5,Transformador (mudará minha forma de desenvolver software),3,2,Me sinto animado para aprender algo novo,Espero evoluir minha integração com ferramentas de IA,Sim,"Sim, eu li e concordo.",1,2,1,0,5,4,3,4,3,4,4,4,4,3.888888888888889,1.3333333333333333,4,3,2,False,False,11,Lower adoption
2025-09-05 09:37:39,6º semestre,Não,17-20 anos,Masculino,Não,1-3 anos,Não,1-2 projetos,Data Science / ML,1-5,Semanalmente,Algumas vezes por mês,"Geração de código, Depuração / debug","ChatGPT, Gemini","Ágil (Scrum, Kanban)",Concordo,Concordo totalmente,Concordo,Concordo,Discordo,Concordo,Neutro,Concordo totalmente,Neutro,3,4,1,1,3,2,"Obtenção de respostas mais rápidas, sem a necessidade de esperar dias por uma resposta quando feita em algum meio especializado.","Vai impactar muito minha carreira, uma vez que pretendo me especializar nessa área, com pesquisas e projetos.",3,"Compreensão dos requisitos do cliente, Integração de componentes e sistemas, Gerenciamento de tempo",4,5,4,Moderado (aprenderei algumas novas técnicas),4,3,Confiante com os novos conhecimentos que posso adquirir e com o projeto que vou desenvolver,"Moderada. Acredito que irá influenciar, mas talvez não seja transformadora.",Não,"Sim, eu li e concordo.",3,2,0,0,4,5,4,4,2,4,3,5,3,3.7777777777777777,2.3333333333333335,2,2,3,False,True,9,Lower adoption
2025-09-05 09:37:47,6º semestre,Não,21-25 anos,Masculino,Não,Menos de 1 ano,Não,Nenhum,Desenvolvedor(a) Backend,1-5,Diariamente,Raramente,"Depuração / debug, Análise de requisitos",ChatGPT,"Ágil (Scrum, Kanban)",Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Concordo,Concordo,Neutro,3,3,4,3,3,4,Não sei,Nenhuma,5,"Adaptação a novas ferramentas e tecnologias, Gerenciamento de tempo",5,4,5,Transformador (mudará minha forma de desenvolver software),4,3,Animado e motivado,.,Não,"Sim, eu li e concordo.",4,1,0,0,4,4,4,4,2,2,4,4,3,3.4444444444444446,3.3333333333333335,1,2,2,False,True,8,Lower adoption
2025-09-05 09:40:52,6º semestre,Não,26-30 anos,Masculino,Não,1-3 anos,Sim,1-2 projetos,Desenvolvedor(a) Backend,6-10,Diariamente,Diariamente,"Geração de código, Depuração / debug, Escrita de testes, Brainstorming de ideias, Refatoração, Pesquisa / Perguntas gerais / Uso Pessoal","ChatGPT, Gemini, GitHub Copilot","Ágil (Scrum, Kanban)",Concordo totalmente,Concordo totalmente,Concordo,Neutro,Neutro,Neutro,Concordo,Discordo,Concordo,2,2,2,2,2,2,Possibilidade de tirar dúvidas de forma rápida e precisa,Acho que atinge um limite no qual nem aumenta nem diminui,3,"Compreensão dos requisitos do cliente, Adaptação a novas ferramentas e tecnologias, Gerenciamento de tempo",4,4,4,Significativo (aprenderei várias técnicas novas),4,3,Espero que eu fique na parte de back end e testes e aprenda novas formas de resolver problemas dentro dessas áreas,Espero aprender cada vez mais e aplicar esses novos conhecimentos no mercado de trabalho,Não,"Sim, eu li e concordo.",4,4,0,1,5,5,4,3,3,3,4,2,4,3.6666666666666665,2.0,3,6,3,True,True,17,Higher adoption
2025-09-05 09:41:00,9º semestre,Não,26-30 anos,Masculino,Sim,1-3 anos,Não,1-2 projetos,Data Science / ML,6-10,Diariamente,Diariamente,"Geração de código, Depuração / debug, Escrita de testes, Documentação, Prototipação, Brainstorming de ideias, Refatoração, Análise de requisitos, Pesquisa / Perguntas gerais / Uso Pessoal, Organização de trabalhos acadêmicos.","ChatGPT, Gemini, DeepSeek, n8n, Microsoft copilot","Ágil (Scrum, Kanban)",Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo,Discordo,Neutro,Concordo,Concordo totalmente,Concordo,4,5,1,1,1,1,Lógica do projeto,Minha produtividade e meu raciocínio estar mais alinhado,5,"Compreensão dos requisitos do cliente, Adaptação a novas ferramentas e tecnologias, Gerenciamento de tempo, Equipe ser aberta a feedback negativo.Não quero que",5,5,5,Transformador (mudará minha forma de desenvolver software),5,5,Confiante!,Conseguir me destacar na banca avaliadora.,Sim,"Sim, eu li e concordo.",4,4,1,0,5,5,5,4,2,3,4,5,4,4.111111111111111,2.1666666666666665,5,10,4,True,True,24,Higher adoption
